"","PassengerId","HomePlanet","CryoSleep","Cabin","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Name","Total_Spend","Transported"
"1","0013_01","Earth","True","G/3/S","TRAPPIST-1e",27,"False",0,0,0,0,0,"Nelly Carsoning",0,TRUE
"2","0018_01","Earth","False","F/4/S","TRAPPIST-1e",19,"False",0,9,0,2823,0,"Lerome Peckers",2832,FALSE
"3","0019_01","Europa","True","C/0/S","55 Cancri e",31,"False",0,0,0,0,0,"Sabih Unhearfus",0,TRUE
"4","0021_01","Europa","False","C/1/S","TRAPPIST-1e",38,"False",0,6652,0,181,585,"Meratz Caltilter",7418,FALSE
"5","0023_01","Earth","False","F/5/S","TRAPPIST-1e",20,"False",10,0,635,0,0,"Brence Harperez",645,FALSE
"6","0027_01","Earth","False","F/7/P","TRAPPIST-1e",31,"False",0,1615,263,113,60,"Karlen Ricks",2051,FALSE
"7","0029_01","Europa","True","B/2/P","55 Cancri e",21,"False",0,0,0,0,0,"Aldah Ainserfle",0,TRUE
"8","0032_01","Europa","True","D/0/S","TRAPPIST-1e",20,"False",0,0,0,0,0,"Acrabi Pringry",0,TRUE
"9","0032_02","Europa","True","D/0/S","55 Cancri e",23,"False",0,0,0,0,0,"Dhena Pringry",0,TRUE
"10","0033_01","Earth","False","F/7/S","55 Cancri e",24,"False",0,639,0,0,0,"Eliana Delazarson",639,FALSE
"11","0037_01","Earth","False","F/9/S","TRAPPIST-1e",19,"False",339,3,136,237,0,"Vivia Rickson",715,FALSE
"12","0040_01","Europa","False","D/2/P","TRAPPIST-1e",45,"False",932,74,0,7,1010,"Antino Pinoffent",2023,TRUE
"13","0040_02","Europa","False","D/2/P","TRAPPIST-1e",44,"False",0,1561,0,14,224,"Jihda Pinoffent",1799,TRUE
"14","0042_01","Mars","True","E/0/P","TRAPPIST-1e",46,"False",0,0,0,0,0,"Hamus Frité",0,TRUE
"15","0046_01","Earth","False","G/4/P","TRAPPIST-1e",21,"False",0,0,0,1687,92,"Neilda Powery",1779,FALSE
"16","0046_02","Earth","False","F/11/P","TRAPPIST-1e",27,"False",0,0,0,903,0,"Glene Powery",903,FALSE
"17","0046_03","Earth","False","F/11/P","TRAPPIST-1e",20,"False",2,12,253,457,690,"Joanny Powery",1414,FALSE
"18","0047_01","Europa","True","B/0/S","TRAPPIST-1e",44,"False",0,0,0,0,0,"Winonon Prucerod",0,TRUE
"19","0047_02","Europa","False","","TRAPPIST-1e",29,"False",0,7708,243,569,343,"Muons Prucerod",8863,FALSE
"20","0047_03","Europa","False","B/0/S","TRAPPIST-1e",40,"False",26,1925,8,3144,63,"",5166,FALSE
"21","0048_01","Earth","False","G/5/S","TRAPPIST-1e",30,"False",0,878,26,3,0,"Tyle Deckerry",907,FALSE
"22","0049_01","Earth","False","E/1/P","TRAPPIST-1e",14,"False",0,0,0,1609,0,"Doria Flynney",1609,FALSE
"23","0054_01","Europa","True","B/4/P","55 Cancri e",31,"False",0,0,0,0,0,"Algedia Viouster",0,TRUE
"24","0054_02","Europa","False","B/4/P","55 Cancri e",27,"False",0,6977,0,4,1235,"Alteron Viouster",8216,FALSE
"25","0054_03","Europa","False","B/4/P","55 Cancri e",66,"False",39,6452,0,1409,155,"Winon Viouster",8055,FALSE
"26","0055_01","Earth","False","G/5/P","TRAPPIST-1e",24,"False",1784,8,18,18,0,"Brence Frederry",1828,FALSE
"27","0057_01","Europa","False","C/1/P","55 Cancri e",19,"False",293,3495,5273,118,422,"Gatrin Windend",9601,FALSE
"28","0059_01","Earth","True","E/2/P","TRAPPIST-1e",36,"False",0,0,0,0,0,"Janne Carvis",0,TRUE
"29","0060_01","Earth","False","F/12/P","TRAPPIST-1e",21,"False",0,619,12,3,0,"Fanna Ashipeck",634,FALSE
"30","0063_01","Earth","True","G/8/S","55 Cancri e",18,"False",0,0,0,0,0,"Elene Daughessey",0,TRUE
"31","0065_01","Earth","True","G/9/S","TRAPPIST-1e",26,"False",0,0,0,0,0,"Monald Rushorney",0,TRUE
"32","0075_01","Earth","False","G/11/S","TRAPPIST-1e",19,"False",598,0,30,0,0,"Shally Jimes",628,FALSE
"33","0079_01","Earth","True","G/12/S","TRAPPIST-1e",48,"False",0,0,0,0,0,"Verney Sullones",0,TRUE
"34","0080_01","Earth","False","G/7/P","TRAPPIST-1e",23,"False",14,870,0,0,23,"Wandy Llobsoney",907,FALSE
"35","0083_01","Earth","False","G/8/P","TRAPPIST-1e",24,"False",483,0,87,214,0,"Lilasa Barris",784,FALSE
"36","0087_01","Earth","False","E/3/P","TRAPPIST-1e",19,"False",0,20,135,265,367,"Meremy Jarvey",787,FALSE
"37","0089_01","Mars","True","F/19/S","TRAPPIST-1e",24,"False",0,0,0,0,0,"Ors Cha",0,TRUE
"38","0093_01","Earth","False","G/10/P","TRAPPIST-1e",27,"False",66,1736,0,0,15,"Krisa Dukertyler",1817,FALSE
"39","0094_01","Earth","True","G/17/S","TRAPPIST-1e",6,"False",0,0,0,0,0,"Jaye Santantines",0,TRUE
"40","0094_02","Earth","False","F/21/S","TRAPPIST-1e",33,"False",0,0,0,866,0,"Terta Santantines",866,FALSE
"41","0095_01","Earth","False","F/18/P","PSO J318.5-22",23,"False",0,0,1235,0,0,"Toddie Benderez",1235,FALSE
"42","0096_01","Earth","False","F/22/S","PSO J318.5-22",30,"False",1,0,1585,0,484,"Leenny Swanardy",2070,FALSE
"43","0100_01","Earth","False","G/13/P","TRAPPIST-1e",27,"",0,17,997,0,0,"Dary Cochrisons",1014,FALSE
"44","0100_02","Earth","False","G/13/P","TRAPPIST-1e",1,"False",0,0,0,0,0,"Mael Cochrisons",0,FALSE
"45","0104_01","Earth","False","F/25/S","TRAPPIST-1e",20,"False",1,0,0,599,0,"Alene Rochan",600,FALSE
"46","0106_01","Earth","True","F/26/S","TRAPPIST-1e",17,"False",0,0,0,0,0,"Therly Puckenton",0,TRUE
"47","0109_01","Earth","False","F/22/P","TRAPPIST-1e",34,"False",0,0,39,1,556,"Tonald Wolferton",596,FALSE
"48","0117_01","Earth","False","E/4/P","PSO J318.5-22",24,"False",0,22,82,0,686,"Megany Ewiseston",790,FALSE
"49","0118_01","Earth","False","G/14/P","TRAPPIST-1e",29,"False",14,869,0,1,0,"Troyce Moodmandez",884,FALSE
"50","0121_01","Earth","False","F/26/P","TRAPPIST-1e",20,"False",1037,1,2,0,1576,"Kendy Mayson",2616,FALSE
"51","0124_01","Earth","True","G/15/P","55 Cancri e",5,"False",0,0,0,0,0,"Karay Camerrison",0,TRUE
"52","0125_01","Europa","True","B/6/P","55 Cancri e",22,"False",0,0,0,0,0,"Saiphda Fulatorly",0,TRUE
"53","0125_02","Europa","False","B/6/P","TRAPPIST-1e",16,"False",3966,2872,0,0,2458,"Hadira Fulatorly",9296,FALSE
"54","0130_01","Earth","True","G/16/P","55 Cancri e",7,"False",0,0,0,0,0,"Catha Gilesonston",0,TRUE
"55","0131_01","Earth","False","F/28/S","55 Cancri e",36,"False",0,0,571,36,0,"Vine Simstravery",607,FALSE
"56","0132_01","Mars","False","D/4/S","55 Cancri e",26,"False",46,315,2305,0,97,"Stech Potte",2763,FALSE
"57","0135_01","Earth","False","F/28/P","TRAPPIST-1e",40,"False",413,514,1,0,0,"Rica Hammonton",928,FALSE
"58","0137_01","Earth","True","G/24/S","TRAPPIST-1e",29,"False",0,0,0,0,0,"Jilley Harry",0,TRUE
"59","0142_01","Mars","True","F/30/S","TRAPPIST-1e",2,"False",0,0,0,0,0,"Oakes Buth",0,TRUE
"60","0142_02","Mars","False","F/30/S","TRAPPIST-1e",23,"False",378,402,0,0,509,"Swafox Buth",1289,FALSE
"61","0142_03","Mars","False","F/30/S","TRAPPIST-1e",0,"False",0,0,0,0,0,"Gacke Buth",0,FALSE
"62","0143_01","Europa","False","C/2/P","55 Cancri e",30,"False",0,8853,6108,29,3523,"Alaton Unloweedic",18513,FALSE
"63","0145_01","Earth","False","E/6/P","TRAPPIST-1e",56,"False",0,44,23,723,0,"Arlie Hodes",790,FALSE
"64","0150_01","Europa","True","B/7/P","TRAPPIST-1e",36,"False",0,0,0,0,0,"Menkaa Slowatic",0,TRUE
"65","0150_02","Europa","True","B/7/P","TRAPPIST-1e",56,"False",0,0,0,0,0,"Wasalm Slowatic",0,TRUE
"66","0153_01","Earth","False","F/32/S","TRAPPIST-1e",19,"False",32,0,521,0,223,"Wandy Meleon",776,FALSE
"67","0154_01","Earth","True","G/21/P","PSO J318.5-22",39,"False",0,0,0,0,0,"Dorah Brenney",0,TRUE
"68","0155_01","Mars","False","F/33/P","TRAPPIST-1e",38,"False",2,26,148,1213,0,"Ritars Harta",1389,FALSE
"69","0156_01","Mars","","F/34/P","TRAPPIST-1e",27,"False",0,0,0,0,0,"Tures Upead",0,TRUE
"70","0157_01","Europa","False","A/1/P","TRAPPIST-1e",35,"False",0,463,0,1502,585,"Dabit Fulazy",2550,TRUE
"71","0158_01","Earth","False","E/9/S","55 Cancri e",26,"False",832,0,0,21,136,"Dawne Jacobbinson",989,FALSE
"72","0158_02","Earth","False","F/33/S","TRAPPIST-1e",31,"False",0,0,705,0,0,"Nelle Jacobbinson",705,FALSE
"73","0159_01","Earth","False","F/34/S","TRAPPIST-1e",38,"False",0,3,0,756,0,"Vanie Irwines",759,FALSE
"74","0161_01","Earth","False","F/35/P","55 Cancri e",27,"False",0,11,0,0,1172,"Adamy Donson",1183,FALSE
"75","0162_01","Mars","True","F/36/P","55 Cancri e",30,"False",0,0,0,0,0,"Lix Ble",0,TRUE
"76","0166_01","Earth","False","G/29/S","TRAPPIST-1e",22,"False",0,772,0,0,0,"Essara Rocholton",772,FALSE
"77","0168_01","Europa","True","C/7/S","TRAPPIST-1e",29,"False",0,0,0,0,0,"Saxinon Oradly",0,TRUE
"78","0175_01","Earth","True","G/25/P","TRAPPIST-1e",0,"False",0,0,0,0,0,"Celis Benney",0,TRUE
"79","0175_02","Earth","","G/25/P","55 Cancri e",8,"False",0,0,0,0,0,"Elody Benney",0,TRUE
"80","0175_03","Earth","True","G/25/P","TRAPPIST-1e",3,"False",0,0,0,0,0,"Leence Benney",0,TRUE
"81","0175_04","Earth","True","G/25/P","TRAPPIST-1e",27,"False",0,0,0,0,0,"Eulah Benney",0,TRUE
"82","0175_05","Earth","False","G/25/P","TRAPPIST-1e",9,"False",0,0,0,0,0,"Robyny Benney",0,FALSE
"83","0176_01","Earth","False","F/39/P","PSO J318.5-22",29,"False",362,15,0,0,450,"Sanya Stannondez",827,FALSE
"84","0180_01","Earth","False","F/40/P","TRAPPIST-1e",18,"False",756,116,0,1,58,"Ronia Kellynn",931,FALSE
"85","0184_01","Mars","False","E/7/P","TRAPPIST-1e",22,"False",197,0,1175,0,0,"Panter Gerry",1372,FALSE
